Time (hr),Theobromine_C(t) (µM),Theobromine_IKK_inhibited(t),Theobromine_N(t),Epicatechin_C(t) (µM),Epicatechin_IKK_inhibited(t),Epicatechin_N(t),Catechin_C(t) (µM),Catechin_IKK_inhibited(t),Catechin_N(t)
0.0,13.876554174067497,1.9999722468916519,0.0,8.612670961518587,1.999982774658077,0.0,8.612670961518587,1.999982774658077,0.0
0.01603206412825651,13.807281005253488,1.9999723854379894,0.031935531155607724,8.574017605914117,1.9999828519647882,0.03193569876519438,8.571700619318609,1.9999828565987614,0.031935698806296056
0.03206412825651302,13.738353655138944,1.9999725232926897,0.06361607472822872,8.535537725170828,1.9999829289245497,0.06361640764310028,8.530925172401114,1.9999829381496552,0.06361640779407061
0.04809619238476953,13.66977039736177,1.9999726604592052,0.09504368443726643,8.49723054073983,1.9999830055389185,0.09504418036701931,8.490343693652266,1.9999830193126127,0.0950441807004478
0.06412825651302605,13.601529514178043,1.9999727969409717,0.1262203786255317,8.459095277566313,1.9999830818094448,0.12622103530442133,8.449955260368494,1.9999831000894792,0.12622103589115316
0.08016032064128256,13.533629296418997,1.999972932741407,0.15714816067992346,8.421131164073904,1.9999831577376719,0.15714897589713941,8.409758954235516,1.9999831804820916,0.15714897680216006
0.09619238476953906,13.466068043448205,1.9999730678639132,0.18782901801240762,8.383337432149021,1.9999832333251357,0.18782998961612662,8.369753861307455,1.9999832604922774,0.1878299908978111
0.11222444889779558,13.398844063118995,1.9999732023118737,0.21826492197790043,8.345713317125359,1.9999833085733658,0.21826604783814413,8.329939071986061,1.999983340121856,0.21826604955334533
0.1282565130260521,13.33195567173206,1.9999733360886565,0.24845782794253374,8.3082580577684,1.9999833834838845,0.24845910591350437,8.290313681000026,1.999983419372638,0.24845910811938207
0.1442885771543086,13.265401193993291,1.999973469197612,0.278409676405135,8.270970896260025,1.9999834580582074,0.27841110404596164,8.250876787384406,1.9999834982464253,0.27841110685654075
0.16032064128256512,13.19917896297182,1.9999736016420742,0.3081223922664128,8.23385107818317,1.9999835322978436,0.30812396762457495,8.211627494460135,1.9999835767450111,0.30812397108159295
0.17635270541082163,13.133287320058264,1.9999737334253598,0.3375978843285305,8.19689785250657,1.999983606204295,0.3375996055874883,8.172564909813634,1.9999836548701804,0.3375996097113231
0.19238476953907813,13.067724614923188,1.99997386455077,0.36683804579169854,8.160110471569565,1.9999836797790569,0.36683991114135445,8.133688145276519,1.9999837326237095,0.36683991593279125
0.20841683366733466,13.002489205475769,1.9999739950215891,0.39584475636869726,8.123488191066961,1.999983753023618,0.3958467628694724,8.094996316905412,1.9999838100073661,0.3958467685167668
0.22444889779559116,12.937579457822672,1.9999741248410843,0.42461988024009556,8.087030270033988,1.99998382593946,0.424622026032189,8.056488544961839,1.99998388702291,0.4246220325982022
0.24048096192384769,12.872993746227118,1.9999742540125076,0.45316526588586176,8.05073597083129,1.9999838985280582,0.45316754940386483,8.01816395389223,1.9999839636720922,0.45316755688643523
0.2565130260521042,12.808730453068172,1.9999743825390939,0.4814827468172834,8.014604559130012,1.9999839707908817,0.48148516648130685,7.980021672308008,1.9999840399566553,0.4814851748381649
0.2725450901803607,12.744787968800232,1.9999745104240625,0.5095741436429155,7.978635303896947,1.9999840427293922,0.509576696329828,7.942060832965777,1.999984115878334,0.5095767057590969
0.2885771543086172,12.681164691912706,1.9999746376706162,0.5374412615170888,7.942827477379731,1.9999841143450452,0.5374439454289136,7.904280572747606,1.9999841914388545,0.5374439560312154
0.3046092184368737,12.617859028889907,1.9999747642819423,0.565085890520232,7.907180355092127,1.99998418563929,0.5650887043259398,7.866680032641403,1.9999842666399348,0.5650887160824437
0.32064128256513025,12.554869394171142,1.9999748902612116,0.5925098061258244,7.8716932157993735,1.9999842566135684,0.5925127487159924,7.82925835772138,1.9999843414832845,0.5925127615500037
0.3366733466933867,12.492194210110997,1.9999750156115799,0.6197147725191541,7.836365341503575,1.999984327269317,0.6197178395701524,7.792014697128623,1.9999844159706057,0.6197178537914714
0.35270541082164325,12.429831906939823,1.999975140336186,0.64670253687714,7.801196017429189,1.9999843976079652,0.6467057278116904,7.754948204051739,1.999984490103592,0.6467057433463671
0.3687374749498998,12.367780922724423,1.9999752644381545,0.6734748329075492,7.76618453200856,1.999984467630936,0.6734781463340246,7.718058035707597,1.9999845638839286,0.6734781632184549
0.38476953907815625,12.306039703328928,1.9999753879205933,0.7000333810084325,7.731330176867522,1.9999845373396463,0.7000368151032774,7.681343353322184,1.9999846373132935,0.7000368332570646
0.4008016032064128,12.24460670237587,1.9999755107865953,0.7263798895066009,7.696632246811067,1.9999846067355065,0.7263834401115429,7.64480332211151,1.9999847103933557,0.7263834598062193
0.4168336673346693,12.183480381207465,1.9999756330392375,0.7525160511379312,7.662090039809072,1.9999846758199205,0.75251971631014,7.608437111262649,1.9999847831257775,0.7525197378485758
0.43286573146292584,12.122659208847054,1.9999757546815824,0.7784435448302714,7.627702856982108,1.999984744594286,0.7784473233895335,7.572243893914835,1.9999848555122122,0.7784473467511199
0.4488977955911823,12.06214166196077,1.9999758757166761,0.8041640359197877,7.593470002587286,1.9999848130599949,0.804167926937542,7.5362228471406665,1.9999849275543058,0.8041679520628657
0.46492985971943884,12.00192622481939,1.9999759961475503,0.829679176299536,7.5593907840041865,1.999984881218432,0.8296831790526289,7.500373151927392,1.9999849992536962,0.8296832058506032
0.48096192384769537,11.942011389260363,1.9999761159772216,0.8549906045680343,7.525464511720848,1.9999849490709765,0.8549947184949691,7.4646939931582965,1.9999850706120137,0.8549947468495879
